voice	key	cer	dur	text	asr
op	n73	0.333	0.634	칠십삼	173.
op	n74	0.0	0.553	칠십사	74
op	n75	0.0	0.625	칠십오	75
op	n76	0.0	0.645	칠십육	칠십육
op	n77	0.333	0.564	칠십칠	17, 17
op	n78	0.0	0.702	칠십팔	78
op	n79	0.333	0.347	칠십구	칠십
op	n80	0.0	0.348	팔십	80
op	n81	0.0	0.581	팔십일	80일
op	n82	0.0	0.541	팔십이	80이
op	n83	0.0	0.715	팔십삼	83
op	n84	0.0	0.541	팔십사	84
op	n85	0.0	0.565	팔십오	85
op	n86	0.0	0.584	팔십육	86
op	n87	0.0	0.514	팔십칠	87
op	n88	0.0	0.662	팔십팔	88
op	n89	0.0	0.532	팔십구	팔십구
op	n90	0.0	0.338	구십	90
op	n91	0.0	0.526	구십일	90일
op	n92	0.0	0.458	구십이	92
op	n93	0.0	0.571	구십삼	93
op	n94	0.0	0.606	구십사	94
op	n95	0.0	0.497	구십오	95
op	n96	0.0	0.542	구십육	96
op	n97	0.0	0.594	구십칠	97
op	n98	0.0	0.625	구십팔	98
op	n99	0.0	0.489	구십구	99
op	kmh1	0.2	0.645	시속 일 킬로!	시속일키로.
op	kmh2	0.4	0.823	시속 이 킬로!	시속이길러.
op	kmh3	0.2	0.689	시속 삼 킬로!	시속삼킬라.
op	kmh4	0.2	0.76	시속 사 킬로!	시속사킬러.
op	kmh5	0.2	0.671	시속 오 킬로!	시속오킬러.
op	kmh6	0.2	0.857	시속 육 킬로!	시속 6킬로따.
op	kmh7	0.0	0.729	시속 칠 킬로!	시속 7킬로.
op	kmh8	0.2	0.591	시속 팔 킬로!	시속 8킬.
op	kmh9	0.2	0.724	시속 구 킬로!	시속구킬러.
op	kmh10	0.4	0.738	시속 십 킬로!	시속시킬러.
op	kmh11	0.167	0.827	시속 십일 킬로!	시속십일킬러.
op	kmh12	0.167	0.871	시속 십이 킬로!	시속십이킬러.
op	kmh13	0.0	1.057	시속 십삼 킬로!	시속 13킬로.
op	kmh14	0.0	0.956	시속 십사 킬로!	시속 14킬로.
op	kmh15	0.0	0.907	시속 십오 킬로!	시속 15킬로.
op	kmh16	0.167	0.941	시속 십육 킬로!	시속십육킬러.
op	kmh17	0.167	0.888	시속 십칠 킬로!	시속 17로.
op	kmh18	0.167	0.896	시속 십팔 킬로!	시속십팔킬러.
op	kmh19	0.333	0.74	시속 십구 킬로!	시속  19개월
op	kmh20	0.0	0.941	시속 이십 킬로!	시속 20킬로.
op	kmh21	0.0	0.928	시속 이십일 킬로!	시속 21킬로.
op	kmh22	0.143	1.032	시속 이십이 킬로!	시속 20이킬러.
op	kmh23	0.143	0.988	시속 이십삼 킬로!	시속 23키로
op	kmh24	0.143	1.101	시속 이십사 킬로!	시속 24 킬러.
op	kmh25	0.0	0.906	시속 이십오 킬로!	시속 25킬로.
op	kmh26	0.143	0.977	시속 이십육 킬로!	시속 26일로.
op	kmh27	0.0	1.038	시속 이십칠 킬로!	시속 27킬로.
op	kmh28	0.143	0.946	시속 이십팔 킬로!	시속이십팔킬까.
op	kmh29	0.286	0.976	시속 이십구 킬로!	시속 20구길러.
op	kmh30	0.167	0.85	시속 삼십 킬로!	시속 30 킬까?
op	kmh31	0.143	0.984	시속 삼십일 킬로!	시속 31 길로.
op	kmh32	0.143	0.982	시속 삼십이 킬로!	시속삼십이길로.
op	kmh33	0.143	0.889	시속 삼십삼 킬로!	시속 33키로
op	kmh34	0.143	1.054	시속 삼십사 킬로!	시속 34킬로업.
op	kmh35	0.143	1.0	시속 삼십오 킬로!	시속 35 길로.
op	kmh36	0.143	1.03	시속 삼십육 킬로!	시속 36 킬러.
op	kmh37	0.143	1.016	시속 삼십칠 킬로!	시속 37로.
op	kmh38	0.0	1.112	시속 삼십팔 킬로!	시속 38킬로.
op	kmh39	0.143	1.157	시속 삼십구 킬로!	시속 39 킬러.
op	kmh40	0.167	0.866	시속 사십 킬로!	시속사 10킬.
op	kmh41	0.143	0.901	시속 사십일 킬로!	시속 41킬
op	kmh42	0.143	1.17	시속 사십이 킬로!	시속 42로.
op	kmh43	0.143	0.874	시속 사십삼 킬로!	시속 43키로
op	kmh44	0.143	0.98	시속 사십사 킬로!	시속 44 킬러.
op	kmh45	0.143	0.995	시속 사십오 킬로!	시속 45키로
op	kmh46	0.0	1.033	시속 사십육 킬로!	시속 46킬로.
op	kmh47	0.143	1.077	시속 사십칠 킬로!	시속 47 길로.
op	kmh48	0.0	0.987	시속 사십팔 킬로!	시속 48킬로.
op	kmh49	0.143	0.996	시속 사십구 킬로!	시속 49 킬러?
op	kmh50	0.167	0.815	시속 오십 킬로!	시속 50키로
op	kmh51	0.143	0.976	시속 오십일 킬로!	시속 51 길로.
op	kmh52	0.143	0.897	시속 오십이 킬로!	시속 52키로
op	kmh53	0.143	0.951	시속 오십삼 킬로!	시속 53키로
op	kmh54	0.143	0.943	시속 오십사 킬로!	시속 54 킬러.
op	kmh55	0.0	1.171	시속 오십오 킬로!	시속오십오킬로.
op	kmh56	0.0	0.98	시속 오십육 킬로!	시속 56킬로.
op	kmh57	0.143	0.971	시속 오십칠 킬로!	시속 57 길로.
op	kmh58	0.143	1.004	시속 오십팔 킬로!	시속 58키로.
op	kmh59	0.143	0.917	시속 오십구 킬로!	시속 59 킬러.
op	kmh60	0.167	0.897	시속 육십 킬로!	시속 67로.
op	kmh61	0.0	0.963	시속 육십일 킬로!	시속 61킬로.
op	kmh62	0.143	0.911	시속 육십이 킬로!	시속 62키로
op	kmh63	0.0	1.015	시속 육십삼 킬로!	시속 63킬로.
op	kmh64	0.0	1.035	시속 육십사 킬로!	시속 64킬로.
op	kmh65	0.0	1.05	시속 육십오 킬로!	시속 65킬로.
op	kmh66	0.143	1.043	시속 육십육 킬로!	시속 66일로.
op	kmh67	0.143	1.0	시속 육십칠 킬로!	시속 67로.
op	kmh68	0.143	1.123	시속 육십팔 킬로!	시속 68킬러.
op	kmh69	0.286	0.992	시속 육십구 킬로!	시속 69 길러.
op	kmh70	0.333	0.922	시속 칠십 킬로!	지속 70키로.
op	kmh71	0.143	0.956	시속 칠십일 킬로!	지속 71킬로.
op	kmh72	0.143	1.164	시속 칠십이 킬로!	시속 72키로.
op	kmh73	0.143	1.011	시속 칠십삼 킬로!	시속 73키로
op	kmh74	0.143	1.086	시속 칠십사 킬로!	시속 74 킬러.
op	kmh75	0.0	1.01	시속 칠십오 킬로!	시속 75킬로.
op	kmh76	0.143	1.05	시속 칠십육 킬로!	시속 76키로
op	kmh77	0.143	1.103	시속 칠십칠 킬로!	시속 77로.
op	kmh78	0.143	1.007	시속 칠십팔 킬로!	시속 78로.
op	kmh79	0.286	1.003	시속 칠십구 킬로!	시속 79 길러.
op	kmh80	0.0	0.903	시속 팔십 킬로!	시속 80킬로.
op	kmh81	0.0	0.989	시속 팔십일 킬로!	시속 81킬로.
op	kmh82	0.0	0.979	시속 팔십이 킬로!	시속 80이킬로.
op	kmh83	0.143	1.082	시속 팔십삼 킬로!	시속 83키로.
op	kmh84	0.143	1.017	시속 팔십사 킬로!	취속84 킬로.
op	kmh85	0.143	1.06	시속 팔십오 킬로!	시속 85킬러.
op	kmh86	0.286	1.152	시속 팔십육 킬로!	시속 86 길러.
op	kmh87	0.143	1.089	시속 팔십칠 킬로!	시속 87로.
op	kmh88	0.0	1.023	시속 팔십팔 킬로!	시속88킬로.
op	kmh89	0.143	1.047	시속 팔십구 킬로!	시속 89 킬러.
op	kmh90	0.0	0.844	시속 구십 킬로!	시속 90킬로.
op	kmh91	0.143	0.978	시속 구십일 킬로!	시속 91킬러.
op	kmh92	0.143	0.979	시속 구십이 킬로!	시속 92키로.
op	kmh93	0.143	1.093	시속 구십삼 킬로!	시속 93키로
op	kmh94	0.0	0.909	시속 구십사 킬로!	시속 94 킬로.
op	kmh95	0.0	0.893	시속 구십오 킬로!	시속 95킬로.
op	kmh96	0.143	0.941	시속 구십육 킬로!	시속 96킬
op	kmh97	0.143	0.928	시속 구십칠 킬로!	시속 97킬라.
op	kmh98	0.0	0.919	시속 구십팔 킬로!	시속 98킬로.
op	kmh99	0.143	1.13	시속 구십구 킬로!	시속 99 킬러.
op	kmh100	0.4	0.702	시속 백 킬로!	시속백일때.
op	kmh101	0.333	0.93	시속 백일 킬로!	시속백일길러.
op	kmh102	0.5	0.891	시속 백이 킬로!	시속메기킬러.
op	kmh103	0.167	0.832	시속 백삼 킬로!	시속 103키로
op	kmh104	0.167	1.036	시속 백사 킬로!	시속백사킬러.
op	kmh105	0.5	0.866	시속 백오 킬로!	시속빼고킬러.
op	kmh106	0.167	0.877	시속 백육 킬로!	시속백육킬러.
op	kmh107	0.333	0.828	시속 백칠 킬로!	시속백칠잇대.
op	kmh108	0.167	0.859	시속 백팔 킬로!	시속백팔킬러.
op	kmh109	0.5	0.889	시속 백구 킬로!	시속댓글로.
op	kmh110	0.0	0.846	시속 백십 킬로!	시속 110킬로.
op	kmh111	0.286	0.958	시속 백십일 킬로!	시속 111 길러.
op	kmh112	0.143	1.049	시속 백십이 킬로!	시속 112키로.
op	kmh113	0.143	1.013	시속 백십삼 킬로!	시속 113키로
op	kmh114	0.143	0.98	시속 백십사 킬로!	시속백십사킬러.
op	kmh115	0.143	0.99	시속 백십오 킬로!	시속 115키로.
op	kmh116	0.143	1.08	시속 백십육 킬로!	시속 116키로.
op	kmh117	0.143	1.056	시속 백십칠 킬로!	시속 117로.
op	kmh118	0.286	1.063	시속 백십팔 킬로!	시속 118 길러.
op	kmh119	0.143	0.856	시속 백십구 킬로!	시속 119키로.
op	kmh120	0.143	1.063	시속 백이십 킬로!	시속 127로.
op	m1	0.0	0.524	일 미터.	1미터
op	m2	0.0	0.524	이 미터.	2미터
op	m3	0.0	0.602	삼 미터.	3미터
op	m4	0.0	0.568	사 미터.	4미터
op	m5	0.0	0.652	오 미터.	오미터
op	m6	0.0	0.393	육 미터.	6미터?
op	m7	0.0	0.666	칠 미터.	7미터.
op	m8	1.0	0.531	팔 미터.	발m.
op	m9	0.0	0.557	구 미터.	구미터
op	m10	0.0	0.562	십 미터.	10미터
op	m11	0.0	0.87	십일 미터.	10일미터
op	m12	0.0	0.723	십이 미터.	12미터
op	m13	0.0	0.875	십삼 미터.	13미터
op	m14	0.5	0.836	십사 미터.	13위터
op	m15	0.0	0.702	십오 미터.	15미터
op	m16	0.0	0.636	십육 미터.	16미터?
op	m17	0.0	0.594	십칠 미터.	17미터?
op	m18	0.5	0.843	십팔 미터.	18m.
op	m19	0.75	0.764	십구 미터.	집컴이터.
op	m20	0.0	0.679	이십 미터.	20미터
op	m21	0.2	0.599	이십일 미터.	21미터때
op	m22	0.2	0.669	이십이 미터.	이십이미트
op	m23	0.0	0.835	이십삼 미터.	23미터
op	m24	0.2	0.693	이십사 미터.	23미터.
op	m25	0.2	0.716	이십오 미터.	25 미터업.
op	m26	0.0	0.661	이십육 미터.	26미터
op	m27	0.2	0.548	이십칠 미터.	27미
op	m28	0.0	0.679	이십팔 미터.	28미터
op	m29	0.4	0.557	이십구 미터.	이십구니까.
op	m30	0.0	0.686	삼십 미터.	30미터
op	m31	0.0	0.882	삼십일 미터.	30일미터
op	m32	0.4	0.841	삼십이 미터.	32m
op	m33	0.0	0.9	삼십삼 미터.	33미터
op	m34	0.4	0.595	삼십사 미터.	34
op	m35	0.0	0.828	삼십오 미터.	35미터
op	m36	0.0	0.786	삼십육 미터.	36미터
op	m37	0.0	0.839	삼십칠 미터.	37미터
op	m38	0.2	0.848	삼십팔 미터.	38미타.
op	m39	0.2	0.666	삼십구 미터.	30 구미
op	m40	0.0	0.645	사십 미터.	40미터
op	m41	0.0	0.657	사십일 미터.	41미터
op	m42	0.0	0.594	사십이 미터.	42미터
op	m43	0.0	0.865	사십삼 미터.	43 미터
op	m44	0.4	0.57	사십사 미터.	44
op	m45	0.0	0.778	사십오 미터.	45미터.
op	m46	0.0	0.816	사십육 미터.	46미터.
op	m47	0.0	0.709	사십칠 미터.	47미터
op	m48	0.0	0.856	사십팔 미터.	48 미터
op	m49	0.2	0.666	사십구 미터.	49 미드
op	m50	0.0	0.507	오십 미터.	50미터
op	m60	0.0	0.623	육십 미터.	60미터
op	m70	0.0	0.635	칠십 미터.	칠십미터
op	m80	0.0	0.649	팔십 미터.	80미터
op	m90	0.0	0.732	구십 미터.	90미터
op	m100	0.0	0.489	백 미터.	100미터
op	m110	0.0	0.585	백십 미터.	110미터
op	m120	0.0	0.649	백이십 미터.	120미터
op	m130	0.0	0.67	백삼십 미터.	130미터
op	m140	0.2	0.628	백사십 미터.	백사십미치
op	m150	0.0	0.563	백오십 미터.	150미터
op	m160	0.0	0.799	백육십 미터.	160미터
op	m170	0.0	0.769	백칠십 미터.	170미터
op	m180	0.0	0.702	백팔십 미터.	180미터
op	m190	0.0	0.683	백구십 미터.	190미터
op	m200	0.0	0.61	이백 미터.	200미터
op	m210	0.0	0.786	이백십 미터.	210미터.
op	m220	0.0	0.789	이백이십 미터.	220미터.
op	m230	0.333	0.833	이백삼십 미터.	230m
op	m240	0.0	0.912	이백사십 미터.	240미터
op	m250	0.167	0.77	이백오십 미터.	250미터판.
op	m260	0.0	0.831	이백육십 미터.	260미터.
op	m270	0.0	0.804	이백칠십 미터.	270 미터
op	m280	0.0	0.923	이백팔십 미터.	280미터.
op	m290	0.0	0.748	이백구십 미터.	290미터.
op	m300	0.25	0.646	삼백 미터.	300 미
op	n100	0.0	0.2	백	100
op	n200	0.0	0.417	이백	200
op	n300	0.0	0.453	삼백	300
op	n400	0.0	0.452	사백	400
op	n500	0.0	0.346	오백	500
op	n600	0.0	0.402	육백	육백
op	n700	0.0	0.373	칠백	칠백?
op	n800	0.0	0.426	팔백	800
op	n900	0.0	0.383	구백	900.
op	name_sloth	0.125	1.096	세발가락나무늘보	새발가락나무늘보?
op	name_loris	0.4	0.649	늘보로리스	늘벌어리스.
op	name_gila	0.2	0.82	힐라몬스터	신라몬스터?
op	name_chicken	0.0	0.328	닭	닭
op	name_chihuahua	0.0	0.521	치와와	치와와.
op	name_crocodile	0.75	0.579	나일악어	나이라고.
op	name_komodo	0.286	1.208	코모도왕도마뱀	아고모도왕도마뱀
op	name_squirrel	0.0	0.577	다람쥐	다람쥐.
op	name_koala	0.333	0.707	코알라	코코알라.
op	name_cat	0.0	0.842	집고양이	집고양이.
op	name_pig	0.0	0.451	돼지	돼지.
op	name_armadillo	0.25	1.05	아홉띠아르마딜로	아홉 D 아르마딜업
op	name_hippo	0.0	0.469	하마	하마
op	name_elephant	0.0	0.558	코끼리	코끼리.
op	name_greyhound	0.0	0.771	그레이하운드	그레이하운드.
op	name_kangaroo	0.0	0.776	붉은캥거루	붉은캥거루.
op	name_cheetah	0.5	0.477	치타	지타.
op	name_hare	0.0	0.76	유럽산토끼	유럽산토끼?
op	name_wolf	0.0	0.711	회색늑대	회색늑대
op	name_jindo	0.0	0.631	진돗개	진돗개
op	name_horse	0.167	0.839	지구력경주마	지구역경주마
op	name_camel	0.25	0.657	단봉낙타	단복낙타.
op	name_sleddog	0.286	0.806	알래스칸허스키	알래스카너스키
op	name_ostrich	1.0	0.425	타조	다줘.
op	name_pronghorn	0.667	0.51	프롱혼	프론트.
